Time elapsed was 252649353466ns or 252.649353466s,,,252.6493535
Time elapsed was 252286918406ns or 252.286918406s,,,252.2869184
Time elapsed was 252453924263ns or 252.453924263s,,,252.4539243
Time elapsed was 252658905405ns or 252.658905405s,,,252.6589054
Time elapsed was 252432886590ns or 252.432886590s,,,252.4328866
Time elapsed was 252638858319ns or 252.638858319s,,,252.6388583
Time elapsed was 252465342006ns or 252.465342006s,,,252.465342
Time elapsed was 252364462511ns or 252.364462511s,,,252.3644625
Time elapsed was 252459183453ns or 252.459183453s,,,252.4591835
Time elapsed was 253420003179ns or 253.420003179s,,,253.4200032
,,Average,252.5829838
