Time elapsed was 233738ns or 0.000233738s
Time elapsed was 600185ns or 0.000600185s
Time elapsed was 621775ns or 0.000621775s
Time elapsed was 812151ns or 0.000812151s
Time elapsed was 690222ns or 0.000690222s
Time elapsed was 775641ns or 0.000775641s
Time elapsed was 626968ns or 0.000626968s
Time elapsed was 1518506ns or 0.001518506s
Time elapsed was 834533ns or 0.000834533s
Time elapsed was 764419ns or 0.000764419s
