Time elapsed was 383089ns or 0.000383089s,,,383089,0.000383089
Time elapsed was 260765ns or 0.000260765s,,,260765,0.000260765
Time elapsed was 932351ns or 0.000932351s,,,932351,0.000932351
Time elapsed was 171502ns or 0.000171502s,,,171502,0.000171502
Time elapsed was 170783ns or 0.000170783s,,,170783,0.000170783
Time elapsed was 1801756ns or 0.001801756s,,,1801756,0.001801756
Time elapsed was 207397ns or 0.000207397s,,,207397,0.000207397
Time elapsed was 170067ns or 0.000170067s,,,170067,0.000170067
Time elapsed was 227290ns or 0.000227290s,,,227290,0.00022729
Time elapsed was 161238ns or 0.000161238s,,,161238,0.000161238
,,,448623.8,0.000448624
