Time elapsed was 585348436ns or 0.585348436s,,,585348436,0.585348436
Time elapsed was 570425827ns or 0.570425827s,,,570425827,0.570425827
Time elapsed was 572881107ns or 0.572881107s,,,572881107,0.572881107
Time elapsed was 569608111ns or 0.569608111s,,,569608111,0.569608111
Time elapsed was 575109138ns or 0.575109138s,,,575109138,0.575109138
Time elapsed was 567793956ns or 0.567793956s,,,567793956,0.567793956
Time elapsed was 569621469ns or 0.569621469s,,,569621469,0.569621469
Time elapsed was 578261678ns or 0.578261678s,,,578261678,0.578261678
Time elapsed was 575258678ns or 0.575258678s,,,575258678,0.575258678
Time elapsed was 569934334ns or 0.569934334s,,,569934334,0.569934334
,,,573424273.4,0.573424273
